group,user_name,time_range,deposit_range,deposit_month,withdrawal_range,withdrawal_month,ib_withdrawal_range,ib_withdrawal_month,net_deposit_range,net_deposit_month,volume_range,volume_month,adjustments_range,adjustments_month
HZL,Group Lead HZL,2026-01-04 ~ 2026-01-08,125000.50,450000.00,-35000.00,-120000.00,-5000.00,-15000.00,85000.50,315000.00,450.25,1250.75,0.00,0.00
CCX,CCX Alpha,2026-01-04 ~ 2026-01-08,85000.00,280000.00,-20000.00,-85000.00,-2500.00,-8000.00,62500.00,187000.00,310.15,980.50,0.00,0.00
JSA,JSA Beta,2026-01-04 ~ 2026-01-08,65000.00,195000.00,-15000.00,-60000.00,-1800.00,-5500.00,48200.00,129500.00,225.40,780.20,0.00,0.00
SZS,SZS Delta,2026-01-04 ~ 2026-01-08,95000.00,310000.00,-28000.00,-95000.00,-3200.00,-10500.00,63800.00,204500.00,380.60,1120.45,0.00,0.00
SZU,SZU Gamma,2026-01-04 ~ 2026-01-08,45000.00,150000.00,-12000.00,-45000.00,-1200.00,-4000.00,31800.00,101000.00,185.30,590.80,0.00,0.00
SHY,SHY Epsilon,2026-01-04 ~ 2026-01-08,110000.00,380000.00,-42000.00,-135000.00,-6500.00,-22000.00,61500.00,223000.00,520.45,1680.90,0.00,0.00
SHT037,SHT037 Team,2026-01-04 ~ 2026-01-08,35000.00,120000.00,-8500.00,-32000.00,-900.00,-3500.00,25600.00,84500.00,142.10,485.30,0.00,0.00
SHT042,SHT042 Team,2026-01-04 ~ 2026-01-08,42000.00,145000.00,-11500.00,-40000.00,-1100.00,-3800.00,29400.00,101200.00,165.25,540.60,0.00,0.00
SHT049,SHT049 Team,2026-01-04 ~ 2026-01-08,58000.00,190000.00,-16000.00,-58000.00,-2100.00,-7200.00,39900.00,124800.00,215.80,725.40,0.00,0.00
SHS,SHS Sigma,2026-01-04 ~ 2026-01-08,72000.00,245000.00,-19500.00,-72000.00,-2400.00,-8500.00,50100.00,164500.00,295.40,945.20,0.00,0.00
SHP,SHP Phi,2026-01-04 ~ 2026-01-08,28000.00,98000.00,-7200.00,-28000.00,-650.00,-2400.00,20150.00,67600.00,110.30,385.15,0.00,0.00
CS/Company,Company Internal,2026-01-04 ~ 2026-01-08,250000.00,850000.00,-65000.00,-210000.00,-12000.00,-45000.00,173000.00,595000.00,950.80,3240.50,0.00,0.00
SP01,SP01 Special,2026-01-04 ~ 2026-01-08,15000.00,55000.00,-3200.00,-15000.00,-450.00,-1800.00,11350.00,38200.00,65.20,245.80,0.00,0.00
